Reference,Value,LibPart,Footprint,Qty,Farnell
BT1,BATTERY,device:BATTERY,,1,908642
"C1, C3, C4, C5, C8",100nF,device:C,0402,5,
C10,4.7uF,device:C,0603,1,
"C2, C6, C7",10uF,device:C,0603,3,
C9,220nF,device:C,0402,1,
"J1, J3",DF9_25P_1V_PLUG,skycan:DF9_25P_1V_PLUG,,2,1798379
"J2, J4",DF9_25P_1V_SOCKET,skycan:DF9_25P_1V_SOCKET,,2,1798380
"R1, R2, R3, R4, R7, R8, R9",4.7k,device:R,,7,
"R5, R6",330R,device:R,,2,
U1,ADT7310,skycan:ADT7310,SOIC8,1,2067805
U2,MPL3115A2,skycan:MPL3115A2,LGA8,1,2009084
U3,LSM303DLHC,skycan:LSM303DLHC,LGA-14,1,2068595
U4,MAX-7C,skycan:MAX-7C,,1,
U5,UFL,skycan:UFL,,1,1688077
